date,open,high,low,close,volume
2019-07-01,15982.7,16023.55,15893.55,15916.7,0
2019-07-02,15952.9,16096.95,15886.45,16074.1,0
2019-07-03,16091.1,16097.15,15906.4,15927.65,0
2019-07-04,15901.45,15992.6,15896.9,15942.4,0
2019-07-05,15960.85,15979.45,15520,15550.05,0
2019-07-08,15410.85,15480.15,15317.4,15376,0
2019-07-09,15381.35,15434,15123.6,15254.5,0
2019-07-10,15077,15322.75,15045.1,15168.6,0
2019-07-11,15256.55,15258.35,15060.9,15214.25,0
2019-07-12,15227.6,15293.35,15186.1,15227.4,0
2019-07-15,15516.25,15697.45,15406.25,15662.05,0
2019-07-16,15608.75,15630.6,15532.3,15580.45,0
2019-07-17,15602.7,15708.8,15508.95,15675.95,0
2019-07-18,15554.9,15636.85,15455.05,15498.45,0
2019-07-19,15520.7,15611.6,15363.05,15383.65,0
2019-07-22,15387.45,15494.05,15334.6,15448.25,0
2019-07-23,15497.55,15645.7,15467.7,15493.4,0
2019-07-24,15465.8,15531.85,15332.85,15380.75,0
2019-07-25,15383.15,15510.6,15343.05,15474.65,0
2019-07-26,15442.5,15461.65,15265.35,15348.05,0
2019-07-29,15365.1,15528.1,15297,15400.85,0
2019-07-30,15409.45,15527.5,15361.45,15501.65,0
2019-07-31,15437.6,15649.15,15303.7,15620.2,0
2019-08-01,15576.95,15593.55,15277.75,15332.1,0
2019-08-02,15277.65,15461.05,15208.8,15422.1,0
2019-08-05,15349.7,15544.9,15312.55,15518.55,0
2019-08-06,15479.2,15636.5,15434.25,15514.8,0
2019-08-07,15591.15,15730.7,15522.85,15583.35,0
2019-08-08,15677.45,15919.2,15654.45,15867.95,0
2019-08-09,15898,15945.4,15785.75,15821.35,0
2019-08-13,15809.25,15822.4,15379.6,15424.4,0
2019-08-14,15467.35,15518.45,15298.5,15466.25,0
2019-08-16,15547.4,15552.7,15238.55,15365.35,0
2019-08-19,15420.05,15514.9,15396,15415.15,0
2019-08-20,15503.8,15691.65,15467.35,15597.75,0
2019-08-21,15598.5,15680.05,15562,15578.15,0
2019-08-22,15581.5,15703.15,15478.8,15632,0
2019-08-23,15647.65,15872.85,15639.4,15816.6,0
2019-08-26,15825.25,15922.55,15628.1,15890.2,0
2019-08-27,15817.3,15833.55,15631.5,15675.3,0
2019-08-28,15704.1,15898,15703.1,15879.9,0
2019-08-29,15774.65,15943.3,15754.9,15884.55,0
2019-08-30,15893.9,16039.25,15734.2,16010.4,0
2019-09-03,16027.1,16189.45,15935.9,15984.85,0
2019-09-04,15985.75,16090.85,15944.4,16032.5,0
2019-09-05,16109.2,16142.65,15972.2,16030.95,0
2019-09-06,16139.9,16218.8,15991.05,16034.55,0
2019-09-09,16023.95,16030.45,15883.6,15919.4,0
2019-09-11,15901.15,15955.2,15669.3,15701.8,0
2019-09-12,15674.3,15725.75,15525.15,15583.25,0
2019-09-13,15608.1,15739.7,15586.7,15722.9,0
2019-09-16,15774.45,15854.15,15602.6,15743.15,0
2019-09-17,15769.85,15769.85,15563.6,15625.65,0
2019-09-18,15649.05,15731.05,15584.1,15702.3,0
2019-09-19,15667,15675.15,15469.1,15522.45,0
2019-09-20,15541.55,15742.55,15434.15,15491.05,0
2019-09-23,15611.8,15611.8,14735.55,15040.65,0
2019-09-24,15055.05,15380.35,15055.05,15338.65,0
2019-09-25,15351.85,15471,15268.9,15379.9,0
2019-09-26,15374.5,15456.85,15208.4,15312.9,0
2019-09-27,15297.7,15412.9,15214.2,15236.4,0
2019-09-30,15277.15,15568.45,15259.8,15540.15,0
2019-10-01,15559.65,15561.5,15240.95,15300.25,0
2019-10-03,15318.8,15417.25,15228.9,15277.95,0
2019-10-04,15328.4,15418.8,15285.15,15340.3,0
2019-10-07,15368.15,15472.35,15226.7,15246.75,0
2019-10-09,15305.1,15317.15,15051.35,15128.75,0
2019-10-10,15124.85,15235.6,15034.6,15093.8,0
2019-10-11,14871.45,15388.95,14865.1,15321.9,0
2019-10-14,15202.2,15338.6,15147.7,15277.75,0
2019-10-15,15254.4,15281.45,15191.05,15208.4,0
2019-10-16,15223.5,15373.35,15213.2,15344.9,0
2019-10-17,15257.95,15313.9,15160.2,15281.9,0
2019-10-18,15271.95,15434.55,15241,15410.1,0
2019-10-22,15033.3,15085.45,14659.45,14688.65,0
2019-10-23,14640.85,14911.2,14566.55,14833.35,0
2019-10-24,14956.65,14970.35,14756.55,14781.5,0
2019-10-25,14883.4,14943.75,14720.85,14898.85,0
2019-10-27,15012.45,15058.45,14916.05,14956.4,0
2019-10-29,14980.15,15199.9,14970.5,15181.4,0
2019-10-30,15343.7,15419.65,15212.75,15395.65,0
2019-10-31,15436.3,15657.75,15417,15559.4,0
2019-11-01,15575.35,15636.3,15411.8,15471.2,0
2019-11-04,15474,15803.35,15428.5,15591.3,0
2019-11-05,15613.1,15613.1,15422.8,15533.45,0
2019-11-06,15554.05,15647.05,15440.4,15561.3,0
2019-11-07,15635.5,15639.7,15532.15,15624.4,0
2019-11-08,15646.4,15658.15,15355.7,15383.3,0
2019-11-11,15343.25,15354.05,15228.8,15308.55,0
2019-11-13,15307.9,15374.05,15192.3,15240.95,0
2019-11-14,15292.9,15410.3,15217.3,15388.75,0
2019-11-15,15425.05,15471.15,15287.1,15310.6,0
2019-11-18,15326.8,15373.85,15251,15295.25,0
2019-11-19,15318.65,15371.8,15256.85,15304.85,0
2019-11-20,15349.05,15349.05,15235,15318.5,0
2019-11-21,15353.7,15435.4,15279.4,15293.95,0
2019-11-22,15216.55,15220.05,14931.35,14995.9,0
2019-11-25,15002.2,15112.9,14950.95,15100.6,0
2019-11-26,15174.65,15212.65,14867.45,14922.15,0
2019-11-27,14957.5,15049,14946.55,15022.15,0
2019-11-28,15069.15,15136.2,15042.65,15121.75,0
2019-11-29,15132.95,15147.25,14964.25,14998.05,0
